time,q0,q1,q2,dq0,dq1,dq2,tau0,tau1,tau2
1722873623.19454,0.187606931,0.635448873,-2.124575138,0.065883905,-1.5866395,1.131113768,1.489244604,0.12369141,0.066381054
1722873623.19653,0.18763721,0.630362272,-2.122900486,0.038755238,-1.530831957,1.117364097,1.469453979,0.044528908,0.113796091
1722873623.19877,0.187728047,0.627818942,-2.121052265,0.056582651,-1.505253482,1.093504381,1.390291476,-0.05442422,0.104313084
1722873623.2006,0.187758327,0.625790358,-2.117529631,0.054257336,-1.552534819,1.079754686,1.370500851,-0.009895313,0.16121113
1722873623.20249,0.187818885,0.623095632,-2.117529631,0.055807544,-1.612992978,1.074093032,1.380396152,0.242435163,0.23707519
1722873623.20454,0.187909722,0.620764256,-2.114449024,0.065883905,-1.636246157,1.136370969,1.400186777,0.188010943,0.284490228
1722873623.2065,0.187909722,0.615465701,-2.112411261,0.052707124,-1.668025446,1.180046439,1.405134439,0.118743753,0.284490228
1722873623.20855,0.187940001,0.612740755,-2.110721111,0.043405867,-1.592065167,1.192987347,1.410082102,0.168220317,0.284490228
1722873623.21064,0.187940001,0.610863566,-2.108683348,0.0325544,-1.545558882,1.180046463,1.400186777,0.133586723,0.227592182
1722873623.21253,0.187970281,0.608592749,-2.107056141,0.018602514,-1.576563048,1.181664038,1.390291452,0.044528908,0.246558201
1722873623.21467,0.18800056,0.605564952,-2.104876041,0.012401676,-1.609117436,1.157804298,1.454610968,0.064319533,0.350871301
1722873623.21652,0.188091397,0.602930844,-2.103280783,0.051932019,-1.580438566,1.230596757,1.464506292,0.183063287,0.350871307
1722873623.21859,0.188091397,0.600296676,-2.100879669,0.0651088,-1.656398869,1.281147051,1.469453955,0.084110159,0.2275922
1722873623.22059,0.188151956,0.597541451,-2.097214699,0.046506286,-1.650198054,1.30136714,1.45955863,-0.004947656,0.123279107
1722873623.22255,0.188212454,0.592454791,-2.095160961,0.051932019,-1.580438638,1.254052043,1.444715667,0.108848441,0.094830081
1722873623.22451,0.188212454,0.58994174,-2.093486547,0.056582648,-1.473474169,1.21280303,1.449663329,0.326545322,0.075864065
1722873623.22652,0.188212454,0.588185668,-2.09146452,0.024028248,-1.442469954,1.183686066,1.439768028,0.158325005,0.094830078
1722873623.22861,0.188212454,0.58591485,-2.089900732,-0.031779295,-1.458747172,1.189347696,1.454610991,0.004947656,0.08534707
1722873623.23055,0.188273013,0.582826555,-2.087610245,-0.022478038,-1.532382131,1.198244572,1.469453955,0.138534379,0.085347071
1722873623.23249,0.188273013,0.580252945,-2.085477591,-0.011626571,-1.570362258,1.18125968,1.444715667,0.192958599,0.085347073
